X,Y,OBJECTID,currentValueTime,currentValue,Name
-293204.769686181,6697303.4512554,1,2015/05/06 10:15:00+01,0.035,Colliters Brook
-287945.67407325,6702017.94952149,2,2015/05/11 05:15:00+01,0.176,Bristol Harbour Passage Street
-284252.393763688,6697912.39153731,3,2014/12/18 05:15:00+00,0.176,Brislington
-284399.352004795,6701468.19484754,4,2015/05/19 12:30:00+01,0.406,Netham Weir
-284399.352004795,6701468.19484754,5,2016/08/01 22:45:00+01,0.441,Netham Weir
-284399.352004795,6701468.19484754,6,2016/04/24 05:00:00+01,0.481,Netham Weir
-287945.67407325,6702017.94952149,7,2014/12/30 16:00:00+00,0.141,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,8,2015/06/11 13:15:00+01,0.944,Ashton Vale
-293204.769686181,6697303.4512554,9,2015/01/06 09:15:00+00,0.203,Colliters Brook
-287945.67407325,6702017.94952149,10,2016/07/08 17:00:00+01,0.062,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,11,2015/01/17 04:15:00+00,0.535,Eastville
-284252.393763688,6697912.39153731,12,2016/01/05 04:00:00+00,0.197,Brislington
-285656.259471231,6704915.77537443,13,2016/09/20 05:00:00+01,0.296,Eastville
-284399.352004795,6701468.19484754,14,2015/11/01 04:15:00+00,0.466,Netham Weir
-287945.67407325,6702017.94952149,15,2015/01/30 04:15:00+00,0.166,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,16,2015/11/06 04:15:00+00,0.96,Ashton Vale
-285656.259471231,6704915.77537443,17,2015/02/15 04:15:00+00,0.448,Eastville
-287945.67407325,6702017.94952149,18,2015/11/09 04:15:00+00,0.272,Bristol Harbour Passage Street
-284399.352004795,6701468.19484754,19,2016/03/27 17:00:00+01,0.448,Netham Weir
-285656.259471231,6704915.77537443,20,2015/11/12 12:45:00+00,0.313,Eastville
-292299.699288219,6699323.02851977,21,2016/03/09 22:30:00+00,1.379,Ashton Vale
-293204.769686181,6697303.4512554,22,2015/11/16 04:15:00+00,0.229,Colliters Brook
-284252.393763688,6697912.39153731,23,2015/02/24 15:15:00+00,0.189,Brislington
-292299.699288219,6699323.02851977,24,2015/11/17 23:00:00+00,1.031,Ashton Vale
-285656.259471231,6704915.77537443,25,2015/04/15 05:30:00+01,0.365,Eastville
-293204.769686181,6697303.4512554,26,2015/07/19 05:15:00+01,-0.025,Colliters Brook
-284399.352004795,6701468.19484754,27,2016/09/25 05:00:00+01,0.43,Netham Weir
-284399.352004795,6701468.19484754,28,2015/07/26 05:15:00+01,1.552,Netham Weir
-284399.352004795,6701468.19484754,29,2015/08/08 11:15:00+01,2.621,Netham Weir
-287945.67407325,6702017.94952149,30,2015/03/09 04:15:00+00,0.156,Bristol Harbour Passage Street
-292299.699288219,6699323.02851977,31,2015/03/11 04:15:00+00,0.963,Ashton Vale
-284399.352004795,6701468.19484754,32,2016/06/30 05:00:00+01,0.48,Netham Weir
-284252.393763688,6697912.39153731,33,2017/02/23 04:00:00+00,0.15,Brislington
-287945.67407325,6702017.94952149,34,2016/09/08 17:00:00+01,0.077,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,35,2017/03/03 04:00:00+00,0.095,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,36,2016/09/09 17:00:00+01,0.063,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,37,2017/03/03 12:45:00+00,7.762,Eastville
-293204.769686181,6697303.4512554,38,2016/09/10 05:00:00+01,0.145,Colliters Brook
