X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
-292611.7439,6698558.07,1,2013/09/12 10:18:00+01,r4,0,0,0,0,0,0,13.7,3.95,1398,8.13,64.4,0.1,0.71,0,0,0,0,0,0,0,0,0,0,9384,Silbury Road,Colliter's Brook,0,0
-284290.0319,6696286.375,2,2013/09/12 11:51:00+01,r8,0,0,0,0,0,0,13.5,7.76,732,8.35,66,0.4,0.36,0,0,0,0,0,0,0,0,0,0,9386,Lynet Way,Brislington Brook,0,0
-284290.0319,6696286.375,3,2013/10/14 11:15:00+01,r8,0,0,0,0,0,0,11.4,8.29,581,9.73,89.2,0.2,0.28,0,0,0,0,0,0,0,0,0,0,9390,Lynet Way,Brislington Brook,0,0
-283531.5172,6702054.508,4,2013/10/14 11:40:00+01,r17,0,0,0,0,0,0,12.9,8.24,699,7.56,71.8,0.3,0.34,0,0,0,0,0,0,0,0,0,0,9392,St Anne's Ferry,River Avon,0,0
-293739.7174,6708986.086,5,2013/10/14 13:00:00+01,r3,20100,0,0,0,0,0,11.6,8.42,597,9.86,90.9,0.1,0.29,0,0,0,0,0,0,6200,0,0,0,9394,Coombe Dingle,Trym,20100,0
-292611.7439,6698558.07,6,2013/11/14 09:33:00+00,r4,0,0,0,0,0,0,9.7,7.67,760,0,0,0.03,0.37,0,0,0,0,0,0,0,0,0,0,9395,Silbury Road,Colliter's Brook,0,0
-293739.7174,6708986.086,7,2013/11/14 11:47:00+00,r3,8000,0,0,0,0,0,10.2,7.94,858,0,0,0.1,0.42,0,0,0,0,0,0,2000,0,0,0,9401,Coombe Dingle,Trym,8000,0
-292611.7439,6698558.07,8,2014/01/15 10:15:00+00,r4,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,9409,Silbury Road,Colliter's Brook,0,0
-292611.7439,6698558.07,9,2014/02/11 09:55:00+00,r4,0,0,0,0,0,0,7.3,7.99,633,11.11,92.4,0.03,0.31,0,0,0,0,0,0,0,0,0,0,9416,Silbury Road,Colliter's Brook,0,0
-292611.7439,6698558.07,10,2014/03/19 10:00:00+00,r4,0,0,0,0,0,0,8.9,7.32,1043,0.16,1.4,0.03,0.52,0,0,0,0,0,0,0,0,0,0,9423,Silbury Road,Colliter's Brook,0,0
-289038.5489,6699277.007,11,2014/03/19 10:20:00+00,r7a,0,0,0,0,0,0,9.4,7.56,1036,10.03,88,0.1,0.52,0,0,0,0,0,0,0,0,0,0,9424,Cotswold Road,Malago,0,0
-289038.5489,6699277.007,12,2014/04/16 11:18:00+01,r7a,0,0,0,0,0,0,9,8.42,950,0,0,0.09,0.47,0,0,0,0,0,0,0,0,0,0,9431,Cotswold Road,Malago,0,0
-291161.3116,6695884.741,13,2014/05/15 12:12:00+01,r6,201000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,9438,Manor Woods,Malago,201000,0
-289038.5489,6699277.007,14,2014/05/15 10:50:00+01,r7a,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,9442,Cotswold Road,Malago,0,0
-289397.3833,6710253.503,15,2014/05/19 12:01:00+01,r2,201000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,9446,Trowbridge Road,Trym,201000,0
-283014.091,6707767.996,16,2014/05/19 12:35:00+01,r14,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,9449,Snuff Mills,Frome,2010,0
-286809.3944,6704598.863,17,2014/05/19 12:52:00+01,r15,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,0,0,9451,Mina Park,Horfield Brook,24000,0
-290357.9935,6709588.918,18,2014/06/25 11:15:00+01,r2a,36000,0,0,0,0,0,16.3,7.99,794,4.81,49.1,0,0.39,0,0,0,0,0,0,3200,0,0,0,9460,Badock's Wood,Trym,36000,0
-289727.56,6695816.793,19,2014/07/11 10:55:00+01,r5,2000,0,0,0,0,0,16.7,7.89,700,3.85,39.6,0,0.34,0,0,0,0,0,0,1300,0,0,0,9467,Crox Bottom,Pigeonhouse Stream,2000,0
-283014.091,6707767.996,20,2014/07/14 12:50:00+01,r14,2000,0,0,0,0,0,16.1,8.34,750,9.22,93.9,0,0.37,0,0,0,0,0,0,1000,0,0,0,9482,Snuff Mills,Frome,2000,0
-286809.3944,6704598.863,21,2014/07/14 12:32:00+01,r15,31000,0,0,0,0,0,14.5,8.12,941,9.3,91.5,0,0.47,0,0,0,0,0,0,5000,0,0,0,9484,Mina Park,Horfield Brook,31000,0
